Geneva Airport,GVA
United States Hartsfield-Jackson Atlanta International Airport,ATL
China Beijing Capital International Airport,PEK
United States Los Angeles International Airport,LAX
United Arab Emirates Dubai International Airport,DXB
Japan Tokyo Haneda Airport,HND
United States O'Hare International Airport,ORD
United Kingdom Heathrow Airport,LHR
China Shanghai Pudong International Airport,PVG
France Charles de Gaulle Airport,CDG
United States Dallas/Fort Worth International Airport,DFW
China Guangzhou Baiyun International Airport,CAN
Netherlands Amsterdam Airport Schiphol,AMS
Hong Kong Hong Kong International Airport,HKG
South Korea Seoul Incheon International Airport,ICN
Germany Frankfurt Airport,FRA
United States Denver International Airport,DEN
India Indira Gandhi International Airport,DEL
Singapore Singapore Changi Airport,SIN
Thailand Suvarnabhumi Airport,BKK
United States John F. Kennedy International Airport,JFK
Malaysia Kuala Lumpur International Airport,KUL
Spain Madrid Barajas Airport,MAD
United States San Francisco International Airport,SFO
China Chengdu Shuangliu International Airport,CTU
Indonesia Soekarno-Hatta International Airport,CGK
China Shenzhen Bao'an International Airport,SZX
Spain Barcelona-El Prat Airport,BCN
Turkey Istanbul Airport,IST
United States Seattle-Tacoma International Airport,SEA
United States McCarran International Airport,LAS
United States Orlando International Airport,MCO
Canada Toronto Pearson International Airport,YYZ
Mexico Benito Juárez International Airport,MEX
United States Charlotte Douglas International Airport,CLT
Russia Sheremetyevo International Airport,SVO
Taiwan Taiwan Taoyuan International Airport,TPE
China Kunming Changshui International Airport,KMG
Germany Munich Airport,MUC
Philippines Ninoy Aquino International Airport,MNL
China Xi'an Xianyang International Airport,XIY
India Chhatrapati Shivaji Maharaj International Airport,BOM
United Kingdom London Gatwick Airport,LGW
United States Newark Liberty International Airport,EWR
United States Phoenix Sky Harbor International Airport,PHX
United States Miami International Airport,MIA
China Shanghai Hongqiao International Airport,SHA
United States George Bush Intercontinental Airport,IAH
China Chongqing Jiangbei International Airport,CKG
Australia Sydney Kingsford-Smith Airport,SYD
Japan Narita International Airport,NRT
